yyyy,mm,dd,hh,temp,sal,co2,do,ph,omega_a,omega_c,TA_calc,datetime,doy,do_mgpl,co2_thermal,co2_corr
2015,4,23,15,6.20955,27.597567899570713,NA,410.400390625,8.1373,NA,NA,NA,2015-04-23T15:00:00Z,113,13.486555475097655,462.45,NA
2015,4,23,16,6.5244,27.503199317108788,283,406.25,8.1422,1.6494667251006843,2.6610031605801043,1993.049559182452,2015-04-23T16:00:00Z,113,13.350165562499997,468.65,356.76
2015,4,23,17,6.5416,27.568955855754847,299.3,412.7197265625,8.1626,1.9195362054398732,3.0958911476376905,2216.115177042746,2015-04-23T17:00:00Z,113,13.562773367431639,468.99,377.03
2015,4,23,18,6.31145,27.717565745379574,338.1,409.423828125,8.1527,2.068340737818659,3.334149916565002,2441.1969424955714,2015-04-23T18:00:00Z,113,13.454463730957029,464.44,430.08
2015,4,23,19,6.122,28.288975969772586,354.5,407.2265625,8.1449,2.1049578631470256,3.3882211943982377,2518.126154865306,2015-04-23T19:00:00Z,113,13.382257306640623,460.74,454.57
2015,4,23,20,6.0646,28.379762706797248,330.2,408.447265625,8.1569,2.075747599723004,3.3392747293767,2427.3450531196872,2015-04-23T20:00:00Z,113,13.422371986816405,459.62,424.44
2015,4,23,21,5.747199999999999,28.91382710409178,335.3,404.052734375,8.1402,1.9623837712450618,3.1527728852302532,2368.113489898539,2015-04-23T21:00:00Z,113,13.277959138183592,453.49,436.82
2015,4,23,22,6.32945,27.961645612298337,312.4,409.5458984375,8.1679,2.068088229478715,3.3302137094482918,2354.767423124022,2015-04-23T22:00:00Z,113,13.458475198974607,464.8,397.08
2015,4,23,23,6.6326,26.272639480839693,299.6,409.423828125,8.183,2.0430042371317763,3.311528353576642,2313.556328081734,2015-04-23T23:00:00Z,113,13.454463730957029,470.8,375.96
2015,4,24,0,6.6016,25.15468261876424,280.6,405.1513671875,8.1786,1.8160078186201956,2.958154931316524,2124.5139824241455,2015-04-24T00:00:00Z,113,13.314062350341795,470.18,352.58
2015,4,24,1,6.5055,25.74134813132394,288.8,405.029296875,8.1689,1.8126063391316674,2.9456805775800134,2143.991609302913,2015-04-24T01:00:00Z,113,13.31005088232422,468.27,364.36
2015,4,24,2,6.4437,26.369119972771045,293.1,400.2685546875,8.1602,1.7952164069361438,2.9092975349329024,2138.4575128402257,2015-04-24T02:00:00Z,113,13.15360362963867,467.05,370.76
2015,4,24,3,6.2748,27.572557467216047,311,401.3671875,8.1467,1.834644608114751,2.9612975653870524,2210.5530310534587,2015-04-24T03:00:00Z,113,13.189706841796873,463.72,396.22
2015,4,24,4,6.03955,27.928626689651637,308.7,404.052734375,8.1551,1.9043911209435185,3.06861947997803,2253.303836450013,2015-04-24T04:00:00Z,114,13.277959138183592,459.13,397.22
2015,4,24,5,6.0995,28.092815847461516,317.2,404.4189453125,8.151,1.9311430006881671,3.10963599179439,2291.233822540257,2015-04-24T05:00:00Z,114,13.289993542236326,460.3,407.13
2015,4,24,6,6.06165,27.97043161458965,320.4,400.5126953125,8.1426,1.865531770231835,3.006076851005945,2262.6469666037124,2015-04-24T06:00:00Z,114,13.161626565673826,459.56,411.89
2015,4,24,7,6.01485,27.986552969469628,309.1,405.1513671875,8.1577,1.9264732925300423,3.1042931031422603,2271.2730910537275,2015-04-24T07:00:00Z,114,13.314062350341795,458.65,398.15
2015,4,24,8,5.7941,28.45233584284016,327.8,402.9541015625,8.1453,1.9433917714344802,3.126702962915307,2340.6456043462454,2015-04-24T08:00:00Z,114,13.241855926025389,454.39,426.2
2015,4,24,9,5.6179,29.08728409640535,329.7,404.1748046875,8.1385,1.9116735386648436,3.070418586557128,2324.01086194472,2015-04-24T09:00:00Z,114,13.28197060620117,451.02,431.88
2015,4,24,10,5.6525,29.236017664650188,324.3,406.25,8.15255,2.0177544493502864,3.2387981383602993,2374.244691806974,2015-04-24T10:00:00Z,114,13.350165562499997,451.68,424.18
2015,4,24,11,5.691649999999999,29.2683745213118,324,406.3720703125,8.1566,2.05949480967585,3.305197115895551,2397.988330009516,2015-04-24T11:00:00Z,114,13.354177030517576,452.43,423.09
2015,4,24,12,5.8581,28.856468777082306,315,408.5693359375,8.169,2.096664857233782,3.3709547294531816,2394.0818640015655,2015-04-24T12:00:00Z,114,13.426383454833985,455.62,408.45
2015,4,24,13,6.1930499999999995,27.14802938819024,308.2,395.3857421875,8.1634,1.9424273151333298,3.1388397598047995,2280.7507363625728,2015-04-24T13:00:00Z,114,12.993144908935545,462.12,394.01
2015,4,24,14,6.55495,26.59621482522538,290.6,412.4755859375,8.2013,2.1766378780454634,3.522428282546481,2361.1077792340893,2015-04-24T14:00:00Z,114,13.554750431396485,469.25,365.87
2015,4,24,15,6.632099999999999,26.07279150485426,291.6,394.6533203125,8.1552,1.7405557262277083,2.8241706845426293,2094.725191147188,2015-04-24T15:00:00Z,114,12.969076100830076,470.79,365.93
2015,4,24,16,6.6530000000000005,26.12173392813345,291.9,399.2919921875,8.1613,1.7963998077272123,2.9135255111647815,2129.9867981906573,2015-04-24T16:00:00Z,114,13.121511885498045,471.2,365.98
2015,4,24,17,6.51295,26.838907013844537,293.5,402.34375,8.16045,1.827065210210511,2.9550256449006587,2150.745834013423,2015-04-24T17:00:00Z,114,13.221798585937497,468.42,370.18
2015,4,24,18,6.46005,27.450940128995178,290.8,406.494140625,8.1617,1.845698727144495,2.978935974485457,2148.9100872787017,2015-04-24T18:00:00Z,114,13.358188498535155,467.37,367.59
2015,4,24,19,6.4755,27.72803420054558,291.4,408.5693359375,8.16665,1.9090454076824057,3.0773231816337305,2185.658918484451,2015-04-24T19:00:00Z,114,13.426383454833985,467.68,368.11
