date, datatype, valuestation,attributes
2015-01-06T00:00:00,WDF5,300,GHCND:USW00014764,",,W,"
2015-01-06T00:00:00,WSF2,6.7,GHCND:USW00014764,",,W,"
2015-01-06T00:00:00,WSF5,8.5,GHCND:USW00014764,",,W,"
2015-01-07T00:00:00,AWND,4.3,GHCND:USW00014764,",,W,"
2015-01-07T00:00:00,PRCP,0.0,GHCND:USW00014764,"T,,W,2400"
2015-01-07T00:00:00,SNOW,0.0,GHCND:USW00014764,"T,,W,"
2015-01-07T00:00:00,SNWD,100.0,GHCND:USW00014764,",,W,2400"
2015-01-07T00:00:00,TAVG,-10.6,GHCND:USW00014764,"H,,S,"
2015-01-07T00:00:00,TMAX,-3.8,GHCND:USW00014764,",,W,2400"
2015-01-07T00:00:00,TMIN,-17.1,GHCND:USW00014764,",,W,2400"
2015-01-07T00:00:00,WDF2,310,GHCND:USW00014764,",,W,"
2015-01-07T00:00:00,WDF5,300,GHCND:USW00014764,",,W,"
2015-01-07T00:00:00,WSF2,11.6,GHCND:USW00014764,",,W,"
2015-01-07T00:00:00,WSF5,14.3,GHCND:USW00014764,",,W,"
2015-01-07T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-08T00:00:00,AWND,3.0,GHCND:USW00014764,",,W,"
2015-01-08T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-08T00:00:00,SNOW,0.0,GHCND:USW00014764,"T,,W,"
2015-01-08T00:00:00,SNWD,80.0,GHCND:USW00014764,",,W,2400"
2015-01-08T00:00:00,TAVG,-16.4,GHCND:USW00014764,"H,,S,"
2015-01-08T00:00:00,TMAX,-8.2,GHCND:USW00014764,",,W,2400"
2015-01-08T00:00:00,TMIN,-22.7,GHCND:USW00014764,",,W,2400"
2015-01-08T00:00:00,WDF2,240,GHCND:USW00014764,",,W,"
2015-01-08T00:00:00,WDF5,240,GHCND:USW00014764,",,W,"
2015-01-08T00:00:00,WSF2,7.2,GHCND:USW00014764,",,W,"
2015-01-08T00:00:00,WSF5,11.2,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,AWND,4.8,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,PRCP,1.3,GHCND:USW00014764,",,W,2400"
2015-01-09T00:00:00,SNOW,10.0,GHCND:USW00014764,",,W,"
2015-01-09T00:00:00,SNWD,80.0,GHCND:USW00014764,",,W,2400"
